PartnerId,PartnerName,CustomerId,CustomerName,CustomerDomainName,CustomerCountry,MpnId,InvoiceNumber,ProductId,SkuId,AvailabilityId,SkuName,ProductName,PublisherName,PublisherId,SubscriptionDescription,SubscriptionId,ChargeStartDate,ChargeEndDate,UsageDate,MeterType,MeterCategory,MeterId,MeterSubCategory,MeterName,MeterRegion,Unit,ResourceLocation,ConsumedService,ResourceGroup,ResourceURI,ChargeType,UnitPrice,Quantity,UnitType,BillingPreTaxTotal,BillingCurrency,PricingPreTaxTotal,PricingCurrency,ServiceInfo1,ServiceInfo2,Tags,AdditionalInfo,EffectiveUnitPrice,PCToBCExchangeRate,PCToBCExchangeRateDate,EntitlementId,EntitlementDescription,PartnerEarnedCreditPercentage,CreditPercentage,CreditType
a1cb9ba8-7d83-46c8-bfc7-317a6235764b,Vodafone GmbH,87101f8d-63f2-4967-a646-379f08b73ca4,VOSS Group,vossgroup.onmicrosoft.com,DE,2435261,G004733052,DZH318Z0BQD2,003J,DZH318Z0BV4Q,Pay-as-you-go,Log Analytics,Microsoft,,,862aa941-3740-4693-d250-9be681c7e88e,06/01/2021,07/01/2021,06/25/2021,Data Ingestion (GB),Log Analytics,e5626349-2f1f-4563-babc-dc9219884716,Log Analytics,Data Ingestion,EU West,1 GB,WESTEUROPE,microsoft.operationalinsights,rg-loganalytics-weu-001,/subscriptions/784cd6f3-bcc2-48d8-aa3f-e325007ba8de/resourcegroups/rg-loganalytics-weu-001/providers/microsoft.operationalinsights/workspaces/log-endpointanalytics-weu-001,New,2.99,0.00000641,1 GB,0,EUR,0,USD,,,,,0,0.818498056067117,06/01/2021,784cd6f3-bcc2-48d8-aa3f-e325007ba8de,Azure,0,0,Credit Not Applied
a1cb9ba8-7d83-46c8-bfc7-317a6235764b,Vodafone GmbH,f776333a-cdd7-4232-a257-dec7847661fb,Megatech Industries AG,mgtindustries.com,AT,2435261,G004733052,DZH318Z0C5TM,4,DZH318Z0BMHC,Intra Continent,Bandwidth Inter-Region,Microsoft,,,0f0fd969-517a-4bca-d349-618fe10d3fce,06/01/2021,07/01/2021,06/23/2021,Data Transfer Out (GB),Bandwidth,0ab798ac-6d96-4ccc-89d1-0cc91dcd5e21,Bandwidth Inter-Region,Data Transfer Out,Europe,1 GB,WESTEUROPE,Microsoft.Storage,mgtprovisioning,/subscriptions/54566fa7-5577-46b8-9a41-0c0117866da4/resourceGroups/mgtprovisioning/providers/Microsoft.Storage/storageAccounts/mgtsiteprovstorage,New,0.02,0.00012,1 GB,0,EUR,0,USD,,,,,0,0.818498056067117,06/01/2021,54566fa7-5577-46b8-9a41-0c0117866da4,Microsoft Azure,15,15,Partner Earned Credit Applied
a1cb9ba8-7d83-46c8-bfc7-317a6235764b,Vodafone GmbH,6f0d2df9-494c-4328-ac16-f179b59d13f4,REMS  GmbH & Co. KG,rems.de,DE,2435261,G004733052,DZH318Z0BNZJ,96,DZH318Z0KL3X,Cool,Blob Storage,Microsoft,,,0b139ef8-ba2c-4031-cf6d-7386338c290e,06/01/2021,07/01/2021,06/27/2021,10K Write Operations,Storage,2a87c94a-471c-46e5-931a-f7310f143322,Blob Storage,Cool LRS Write Operations,EU West,10K,WESTEUROPE,Microsoft.Storage,rg-adaudit-prod-001,/subscriptions/bdd1fb0d-31b3-434e-8e56-f8059c8d5a7c/resourceGroups/rg-adaudit-prod-001/providers/Microsoft.Storage/storageAccounts/adauditstorage2021,New,0.1,0.7481,10K,0.0517234988,EUR,0.0634590826,USD,,,,,0.0848270052000116,0.818498056067117,06/01/2021,bdd1fb0d-31b3-434e-8e56-f8059c8d5a7c,Azure,15,15,Partner Earned Credit Applied
a1cb9ba8-7d83-46c8-bfc7-317a6235764b,Vodafone GmbH,4ed7bff1-df16-41b1-99db-5a90fd4c9c11,Schollmeier Autofunk e.K.,schollmeier.de,DE,2435261,G004733052,DZH318Z0BP88,00BV,DZH318Z08B2P,E4,Standard SSD Managed Disks,Microsoft,,,a32e71bc-4d4b-42c3-db5e-97bb504b425e,06/01/2021,07/01/2021,06/18/2021,1 Disk/Month,Storage,775e5810-2052-4002-9e12-c157326e79ea,Standard SSD Managed Disks,E4 Disks,EU West,1/Month,WESTEUROPE,Microsoft.Compute,POC,/subscriptions/972f2345-be20-4ecb-8a8a-e8e9af8115b8/resourceGroups/POC/providers/Microsoft.Compute/disks/FD0218_OsDisk_1_d5b4bf7037f642ef84250a1fb76e1a69,New,2.4,0.033336,1/Month,0.0556619946,EUR,0.0680052051,USD,,,,,2.03999295377824,0.818498056067117,06/01/2021,972f2345-be20-4ecb-8a8a-e8e9af8115b8,DM Deutschland,15,15,Partner Earned Credit Applied
a1cb9ba8-7d83-46c8-bfc7-317a6235764b,Vodafone GmbH,87101f8d-63f2-4967-a646-379f08b73ca4,VOSS Group,vossgroup.onmicrosoft.com,DE,2435261,G004733052,DZH318Z0BQJJ,004G,DZH318Z0BXGW,S1,Azure App Service Std Plan,Microsoft,,,862aa941-3740-4693-d250-9be681c7e88e,06/01/2021,07/01/2021,06/25/2021,1 App Service Hour,Azure App Service,505db374-df8a-44df-9d8c-13c14b61dee1,Azure App Service Standard Plan,S1,,1 Hour,WESTEUROPE,microsoft.web,rg-scepman-weu-001,/subscriptions/784cd6f3-bcc2-48d8-aa3f-e325007ba8de/resourcegroups/rg-scepman-weu-001/providers/microsoft.web/serverfarms/plan-scepman-weu-001,New,0.1,24,1 Hour,1.9633333333,EUR,2.4,USD,,,,,0.1,0.818498056067117,06/01/2021,784cd6f3-bcc2-48d8-aa3f-e325007ba8de,Azure,0,0,Credit Not Applied
a1cb9ba8-7d83-46c8-bfc7-317a6235764b,Vodafone GmbH,f776333a-cdd7-4232-a257-dec7847661fb,Megatech Industries AG,mgtindustries.com,AT,2435261,G004733052,DZH318Z0BNZ5,006G,DZH318Z09XMC,Standard,Tables,Microsoft,,,0f0fd969-517a-4bca-d349-618fe10d3fce,06/01/2021,07/01/2021,06/13/2021,10K Batch Write Operations,Storage,b9e5e77c-a0b3-4a2c-9b8b-57fa54f31c52,Tables,Batch Write Operations,,10K,WESTEUROPE,Microsoft.Storage,azrpapp02,/subscriptions/54566fa7-5577-46b8-9a41-0c0117866da4/resourceGroups/azrpapp02/providers/Microsoft.Storage/storageAccounts/azrpapp02disks,New,0.00036,0.0152,10K,0,EUR,0.0000025262,USD,,,,,0.000166195502417314,0.818498056067117,06/01/2021,54566fa7-5577-46b8-9a41-0c0117866da4,Microsoft Azure,15,15,Partner Earned Credit Applied
a1cb9ba8-7d83-46c8-bfc7-317a6235764b,Vodafone GmbH,6f0d2df9-494c-4328-ac16-f179b59d13f4,REMS  GmbH & Co. KG,rems.de,DE,2435261,G004733052,DZH318Z0BQD2,003J,DZH318Z0BV6H,Pay-as-you-go,Log Analytics,Microsoft,,,0b139ef8-ba2c-4031-cf6d-7386338c290e,06/01/2021,07/01/2021,06/28/2021,Data Retention (GB/Month),Log Analytics,127fa4bc-00f0-4ffe-b884-f3fcc5e62790,Log Analytics,Data Retention,EU West,1 GB/Month,WESTEUROPE,microsoft.operationalinsights,rg-adaudit-prod-001,/subscriptions/bdd1fb0d-31b3-434e-8e56-f8059c8d5a7c/resourcegroups/rg-adaudit-prod-001/providers/microsoft.operationalinsights/workspaces/workspace-adaudit-prod-001,New,0.13,0.04245571,1 GB,0.002436457,EUR,0.0036546854,USD,,,,,0.086082312279515,0.818498056067117,06/01/2021,bdd1fb0d-31b3-434e-8e56-f8059c8d5a7c,Azure,15,15,Partner Earned Credit Applied
a1cb9ba8-7d83-46c8-bfc7-317a6235764b,Vodafone GmbH,4ed7bff1-df16-41b1-99db-5a90fd4c9c11,Schollmeier Autofunk e.K.,schollmeier.de,DE,2435261,G004733052,DZH318Z0BNVX,005J,DZH318Z0C3B3,Standard,Bandwidth,Microsoft,,,a32e71bc-4d4b-42c3-db5e-97bb504b425e,06/01/2021,07/01/2021,06/29/2021,Data Transfer Out (GB),Bandwidth,9995d93a-7d35-4d3f-9c69-7a7fea447ef4,Bandwidth,Data Transfer Out,,1 GB,WESTEUROPE,Microsoft.Compute,POC,/subscriptions/972f2345-be20-4ecb-8a8a-e8e9af8115b8/resourceGroups/POC/providers/Microsoft.Compute/virtualMachines/fd0522,New,0.087,0.041312,1 Hour,0.0024882612,EUR,0.0030401355,USD,,,,"{  ""ResourceType"": ""Bandwidth"",  ""UsageResourceKind"": ""DataTrOut:Linux_Iaas_Software_Store|Standard_B1ms|972f2345-be20-4ecb-8a8a-e8e9af8115b8|30031232-28d1-4acf-bea0-23250c65b0e4:Linux:Running"",  ""DataCenter"": ""AMZ06"",  ""NetworkBucket"": ""External"",  ""PipelineType"": ""v2_late""}",0.0735896477316141,0.818498056067117,06/01/2021,972f2345-be20-4ecb-8a8a-e8e9af8115b8,DM Deutschland,15,15,Partner Earned Credit Applied
a1cb9ba8-7d83-46c8-bfc7-317a6235764b,Vodafone GmbH,87101f8d-63f2-4967-a646-379f08b73ca4,VOSS Group,vossgroup.onmicrosoft.com,DE,2435261,G004733052,DZH318Z0BQD2,003J,DZH318Z0BV4Q,Pay-as-you-go,Log Analytics,Microsoft,,,862aa941-3740-4693-d250-9be681c7e88e,06/01/2021,07/01/2021,06/30/2021,Data Ingestion (GB),Log Analytics,e5626349-2f1f-4563-babc-dc9219884716,Log Analytics,Data Ingestion,EU West,1 GB,WESTEUROPE,microsoft.operationalinsights,rg-loganalytics-weu-001,/subscriptions/784cd6f3-bcc2-48d8-aa3f-e325007ba8de/resourcegroups/rg-loganalytics-weu-001/providers/microsoft.operationalinsights/workspaces/log-endpointanalytics-weu-001,New,2.99,0.00001913,1 GB,0,EUR,0,USD,,,,,0,0.818498056067117,06/01/2021,784cd6f3-bcc2-48d8-aa3f-e325007ba8de,Azure,0,0,Credit Not Applied
